# areaCode,year,value
# 単位: 件/千人（人口1千人あたりの刑法犯認知件数）。出典: 警察庁「犯罪統計」2011年、総務省統計局「国勢調査」2010年人口。
01,2011,8.95
02,2011,6.07
03,2011,4.78
04,2011,8.77
05,2011,4.08
06,2011,5.51
07,2011,7.97
08,2011,12.95
09,2011,11.49
10,2011,10.45
11,2011,13.93
12,2011,13.35
13,2011,14.17
14,2011,9.47
15,2011,8.66
16,2011,6.11
17,2011,6.91
18,2011,7.04
19,2011,8.55
20,2011,8.23
21,2011,12.13
22,2011,9.54
23,2011,16.05
24,2011,11.98
25,2011,9.75
26,2011,14.34
27,2011,17.51
28,2011,13.70
29,2011,9.51
30,2011,10.93
31,2011,8.39
32,2011,6.23
33,2011,12.27
34,2011,9.07
35,2011,7.89
36,2011,8.26
37,2011,9.24
38,2011,11.29
39,2011,10.47
40,2011,14.48
41,2011,9.59
42,2011,5.95
43,2011,7.73
44,2011,6.85
45,2011,8.36
46,2011,6.21
47,2011,8.90
