# areaCode,year,value
# 単位: 百万kWh（電灯使用電力量）。出典: 資源エネルギー庁「電力調査統計」。
01,2013,11595
02,2013,2867
03,2013,2876
04,2013,5000
05,2013,2305
06,2013,2518
07,2013,4145
08,2013,6221
09,2013,4337
10,2013,4438
11,2013,14576
12,2013,12457
13,2013,29784
14,2013,18055
15,2013,5103
16,2013,3051
17,2013,3298
18,2013,2334
19,2013,1986
20,2013,5009
21,2013,4633
22,2013,8134
23,2013,16062
24,2013,4265
25,2013,3401
26,2013,6255
27,2013,19771
28,2013,12746
29,2013,3197
30,2013,2649
31,2013,1450
32,2013,1817
33,2013,4888
34,2013,7050
35,2013,3531
36,2013,1990
37,2013,2542
38,2013,3457
39,2013,1798
40,2013,11539
41,2013,1948
42,2013,3166
43,2013,4062
44,2013,2813
45,2013,2514
46,2013,3750
47,2013,2955
