# areaCode,year,value
# 単位: %（持ち家比率）。出典: 総務省統計局「社会生活統計指標-都道府県の指標-」各年版。
01,2003,56.7
01,2008,57.2
01,2013,57.7
01,2018,56.3
02,2003,70.9
02,2008,71.7
02,2013,71.3
02,2018,70.3
03,2003,70.1
03,2008,71.9
03,2013,68.9
03,2018,69.9
04,2003,60.6
04,2008,60.8
04,2013,58.0
04,2018,58.1
05,2003,77.6
05,2008,78.4
05,2013,78.1
05,2018,77.3
06,2003,75.9
06,2008,75.5
06,2013,76.7
06,2018,74.9
07,2003,68.6
07,2008,68.8
07,2013,66.5
07,2018,67.7
08,2003,70.1
08,2008,70.7
08,2013,71.3
08,2018,71.2
09,2003,69.2
09,2008,68.6
09,2013,70.6
09,2018,69.1
10,2003,70.5
10,2008,70.7
10,2013,70.6
10,2018,71.4
11,2003,64.1
11,2008,65.3
11,2013,66.1
11,2018,65.7
12,2003,64.3
12,2008,64.4
12,2013,66.3
12,2018,65.4
13,2003,44.8
13,2008,44.6
13,2013,45.8
13,2018,45.0
14,2003,56.3
14,2008,57.2
14,2013,58.6
14,2018,59.1
15,2003,74.9
15,2008,73.9
15,2013,75.5
15,2018,74.0
16,2003,79.6
16,2008,77.5
16,2013,79.4
16,2018,76.8
17,2003,68.7
17,2008,69.1
17,2013,70.8
17,2018,69.3
18,2003,76.1
18,2008,77.4
18,2013,76.5
18,2018,74.9
19,2003,69.6
19,2008,69.4
19,2013,70.9
19,2018,70.2
20,2003,72.2
20,2008,72.4
20,2013,73.0
20,2018,71.2
21,2003,73.4
21,2008,73.9
21,2013,74.5
21,2018,74.3
22,2003,65.6
22,2008,64.8
22,2013,67.7
22,2018,67.0
23,2003,58.7
23,2008,57.8
23,2013,58.7
23,2018,59.5
24,2003,75.3
24,2008,73.0
24,2013,73.2
24,2018,72.0
25,2003,73.0
25,2008,70.4
25,2013,72.6
25,2018,71.6
26,2003,61.0
26,2008,60.8
26,2013,60.8
26,2018,61.3
27,2003,51.9
27,2008,53.0
27,2013,54.2
27,2018,54.7
28,2003,63.4
28,2008,63.6
28,2013,63.6
28,2018,64.8
29,2003,72.2
29,2008,72.6
29,2013,73.8
29,2018,74.1
30,2003,72.9
30,2008,72.8
30,2013,74.8
30,2018,73.0
31,2003,70.7
31,2008,70.0
31,2013,69.8
31,2018,68.8
32,2003,72.9
32,2008,73.0
32,2013,71.8
32,2018,70.2
33,2003,66.0
33,2008,66.5
33,2013,67.6
33,2018,64.9
34,2003,60.5
34,2008,61.2
34,2013,62.6
34,2018,61.4
35,2003,66.1
35,2008,66.4
35,2013,67.3
35,2018,67.1
36,2003,70.8
36,2008,69.0
36,2013,71.8
36,2018,69.2
37,2003,70.2
37,2008,70.9
37,2013,71.0
37,2018,69.3
38,2003,66.6
38,2008,65.6
38,2013,66.3
38,2018,66.5
39,2003,64.7
39,2008,66.8
39,2013,65.8
39,2018,64.9
40,2003,54.3
40,2008,53.6
40,2013,53.8
40,2018,52.8
41,2003,70.9
41,2008,69.3
41,2013,70.5
41,2018,66.9
42,2003,65.0
42,2008,65.7
42,2013,66.0
42,2018,63.7
43,2003,63.8
43,2008,64.3
43,2013,64.1
43,2018,61.9
44,2003,63.5
44,2008,62.6
44,2013,63.7
44,2018,63.6
45,2003,67.1
45,2008,66.0
45,2013,67.4
45,2018,65.7
46,2003,67.3
46,2008,65.8
46,2013,65.4
46,2018,64.6
47,2003,52.3
47,2008,50.2
47,2013,48.0
47,2018,44.4
