# areaCode,year,value
# 出典: 厚生労働省「医療施設動態調査」2018年（平成30年）10月1日現在。病院数（施設）。
01,2018,575
02,2018,101
03,2018,92
04,2018,142
05,2018,73
06,2018,68
07,2018,128
08,2018,183
09,2018,109
10,2018,131
11,2018,344
12,2018,279
13,2018,646
14,2018,343
15,2018,131
16,2018,109
17,2018,99
18,2018,71
19,2018,60
20,2018,130
21,2018,103
22,2018,182
23,2018,325
24,2018,103
25,2018,58
26,2018,173
27,2018,535
28,2018,353
29,2018,75
30,2018,86
31,2018,45
32,2018,53
33,2018,170
34,2018,248
35,2018,148
36,2018,114
37,2018,92
38,2018,143
39,2018,133
40,2018,465
41,2018,108
42,2018,159
43,2018,214
44,2018,158
45,2018,141
46,2018,259
47,2018,94
