# areaCode,year,value
# 単位: 千円（1人当たり県民所得）。出典: 内閣府「県民経済計算」2022年度（令和4年度、2025年12月公表）。
01,2022,2682
02,2022,2633
03,2022,2666
04,2022,2803
05,2022,2583
06,2022,2843
07,2022,2833
08,2022,3098
09,2022,3132
10,2022,2937
11,2022,2890
12,2022,2988
13,2022,5214
14,2022,2961
15,2022,2784
16,2022,3120
17,2022,2770
18,2022,3182
19,2022,2982
20,2022,2788
21,2022,2875
22,2022,3110
23,2022,3428
24,2022,2948
25,2022,3097
26,2022,2745
27,2022,2830
28,2022,2887
29,2022,2501
30,2022,2751
31,2022,2313
32,2022,2768
33,2022,2665
34,2022,2969
35,2022,2960
36,2022,3013
37,2022,2766
38,2022,2471
39,2022,2491
40,2022,2630
41,2022,2575
42,2022,2483
43,2022,2498
44,2022,2604
45,2022,2289
46,2022,2408
47,2022,2167
