# areaCode,year,value
# 単位: 百万円（製造品出荷額等）。出典: 経済産業省「工業統計調査」。
01,2013,6385147
02,2013,1520298
03,2013,2267151
04,2013,3726535
05,2013,1106465
06,2013,2395796
07,2013,4762508
08,2013,10901331
09,2013,8179507
10,2013,7722701
11,2013,11787702
12,2013,13003297
13,2013,7851824
14,2013,17226142
15,2013,4405065
16,2013,3331418
17,2013,2424273
18,2013,1830135
19,2013,1985155
20,2013,5112535
21,2013,4797431
22,2013,15699131
23,2013,42001844
24,2013,10409249
25,2013,6435202
26,2013,4560516
27,2013,16024460
28,2013,14026866
29,2013,1848195
30,2013,2972305
31,2013,655290
32,2013,1004306
33,2013,7673681
34,2013,8555642
35,2013,6797922
36,2013,1712207
37,2013,2283571
38,2013,4067759
39,2013,521768
40,2013,8193015
41,2013,1652804
42,2013,1627820
43,2013,2385012
44,2013,4382787
45,2013,1447591
46,2013,1802491
47,2013,628279
