# areaCode,year,value
# 単位: 千トン（生乳生産量）。出典: 農林水産省「牛乳乳製品統計調査」。
01,2011,3876
02,2011,68
03,2011,209
04,2011,117
05,2011,30
06,2011,74
07,2011,75
08,2011,148
09,2011,299
10,2011,247
11,2011,70
12,2011,240
13,2011,11
14,2011,49
15,2011,58
16,2011,15
17,2011,22
18,2011,7
19,2011,22
20,2011,112
21,2011,48
22,2011,98
23,2011,199
24,2011,54
25,2011,24
26,2011,33
27,2011,12
28,2011,102
29,2011,27
30,2011,5
31,2011,59
32,2011,60
33,2011,101
34,2011,62
35,2011,20
36,2011,37
37,2011,35
38,2011,41
39,2011,26
40,2011,89
41,2011,20
42,2011,53
43,2011,239
44,2011,84
45,2011,83
46,2011,87
47,2011,27
