# areaCode,year,value
# 単位: 施設（喫茶店の軒数）。出典: 都道府県格付研究所(厚労省衛生行政報告例集計) 2008年。
01,2008,8900
02,2008,1662
03,2008,2809
04,2008,4290
05,2008,1647
06,2008,2240
07,2008,5179
08,2008,6563
09,2008,4660
10,2008,5017
11,2008,11494
12,2008,9111
13,2008,31841
14,2008,15632
15,2008,4965
16,2008,4153
17,2008,4092
18,2008,2939
19,2008,1586
20,2008,9992
21,2008,6697
22,2008,8901
23,2008,25473
24,2008,4994
25,2008,4652
26,2008,6343
27,2008,23194
28,2008,13267
29,2008,1476
30,2008,1873
31,2008,1682
32,2008,1477
33,2008,6333
34,2008,8570
35,2008,3634
36,2008,1667
37,2008,2294
38,2008,3101
39,2008,1871
40,2008,10017
41,2008,1585
42,2008,1722
43,2008,3998
44,2008,2564
45,2008,1921
46,2008,2409
47,2008,2402
