# areaCode,year,value
# 単位: 台（2人以上世帯、1千世帯あたりの自動車所有数量）。出典: 総務省統計局「全国消費実態調査」集計 2014年。
01,2014,1325
02,2014,1651
03,2014,1812
04,2014,1625
05,2014,1802
06,2014,2111
07,2014,1889
08,2014,1948
09,2014,1893
10,2014,1903
11,2014,1190
12,2014,1188
13,2014,665
14,2014,917
15,2014,1875
16,2014,2057
17,2014,1860
18,2014,2101
19,2014,1938
20,2014,1969
21,2014,1960
22,2014,1762
23,2014,1568
24,2014,1790
25,2014,1750
26,2014,1073
27,2014,843
28,2014,1144
29,2014,1353
30,2014,1709
31,2014,1954
32,2014,1829
33,2014,1831
34,2014,1497
35,2014,1632
36,2014,1925
37,2014,1765
38,2014,1565
39,2014,1519
40,2014,1352
41,2014,1873
42,2014,1448
43,2014,1717
44,2014,1598
45,2014,1719
46,2014,1645
47,2014,1513
