# areaCode,year,value
# 単位: 品目（経済産業大臣指定の伝統的工芸品の数）。出典: 経済産業省指定データ、一般財団法人伝統的工芸品産業振興協会集計（2025年10月27日現在）。
01,2025,2
02,2025,1
03,2025,4
04,2025,4
05,2025,4
06,2025,5
07,2025,5
08,2025,3
09,2025,2
10,2025,2
11,2025,5
12,2025,2
13,2025,23
14,2025,3
15,2025,17
16,2025,6
17,2025,10
18,2025,7
19,2025,3
20,2025,7
21,2025,6
22,2025,3
23,2025,15
24,2025,5
25,2025,3
26,2025,17
27,2025,9
28,2025,6
29,2025,3
30,2025,3
31,2025,3
32,2025,4
33,2025,2
34,2025,5
35,2025,3
36,2025,3
37,2025,2
38,2025,2
39,2025,2
40,2025,7
41,2025,2
42,2025,3
43,2025,4
44,2025,1
45,2025,2
46,2025,3
47,2025,16
