# areaCode,year,value
# 単位: 件（国宝・重要文化財の総数）。出典: 都道府県格付研究所(文化庁データ集計) 2013年。
01,2013,49
02,2013,55
03,2013,77
04,2013,57
05,2013,38
06,2013,99
07,2013,96
08,2013,71
09,2013,154
10,2013,56
11,2013,80
12,2013,76
13,2013,2729
14,2013,341
15,2013,82
16,2013,50
17,2013,129
18,2013,106
19,2013,108
20,2013,185
21,2013,152
22,2013,219
23,2013,322
24,2013,184
25,2013,813
26,2013,2144
27,2013,664
28,2013,462
29,2013,1311
30,2013,384
31,2013,54
32,2013,97
33,2013,167
34,2013,208
35,2013,135
36,2013,45
37,2013,119
38,2013,157
39,2013,89
40,2013,198
41,2013,49
42,2013,64
43,2013,64
44,2013,85
45,2013,17
46,2013,35
47,2013,31
