# areaCode,year,value
# 単位: 件（国宝・重文のうち建造物の件数）。出典: 都道府県格付研究所(文化庁データ集計) 2013年。
01,2013,25
02,2013,31
03,2013,25
04,2013,20
05,2013,24
06,2013,29
07,2013,33
08,2013,32
09,2013,31
10,2013,21
11,2013,24
12,2013,29
13,2013,72
14,2013,52
15,2013,34
16,2013,20
17,2013,43
18,2013,26
19,2013,51
20,2013,86
21,2013,49
22,2013,33
23,2013,76
24,2013,23
25,2013,182
26,2013,292
27,2013,98
28,2013,105
29,2013,261
30,2013,78
31,2013,17
32,2013,24
33,2013,55
34,2013,62
35,2013,38
36,2013,17
37,2013,28
38,2013,47
39,2013,20
40,2013,38
41,2013,13
42,2013,34
43,2013,30
44,2013,31
45,2013,9
46,2013,10
47,2013,21
