# areaCode,year,value
# 単位: 人/10万人（人口10万人あたり医師数）。出典: 厚生労働省「医師・歯科医師・薬剤師統計」集計 2010年。
01,2010,229.0
02,2010,191.9
03,2010,193.7
04,2010,222.9
05,2010,213.6
06,2010,221.5
07,2010,191.2
08,2010,166.8
09,2010,216.0
10,2010,216.8
11,2010,148.6
12,2010,170.3
13,2010,303.7
14,2010,195.4
15,2010,191.2
16,2010,241.0
17,2010,267.0
18,2010,238.4
19,2010,218.6
20,2010,213.9
21,2010,194.6
22,2010,190.3
23,2010,203.4
24,2010,198.7
25,2010,211.4
26,2010,302.3
27,2010,260.7
28,2010,226.2
29,2010,220.6
30,2010,270.6
31,2010,287.6
32,2010,264.8
33,2010,282.9
34,2010,248.6
35,2010,247.1
36,2010,304.0
37,2010,266.9
38,2010,244.7
39,2010,285.6
40,2010,288.4
41,2010,256.5
42,2010,284.7
43,2010,271.0
44,2010,256.1
45,2010,233.7
46,2010,242.3
47,2010,235.2
