# areaCode,year,value
# 単位: 百万kWh（家庭部門の電力消費量）。出典: 資源エネルギー庁「都道府県別エネルギー消費統計」2016年度確定値。
01,2016,12751
02,2016,3555
03,2016,2847
04,2016,4298
05,2016,2663
06,2016,2310
07,2016,4370
08,2016,6350
09,2016,4700
10,2016,4102
11,2016,14092
12,2016,11543
13,2016,28054
14,2016,17372
15,2016,5055
16,2016,3168
17,2016,3515
18,2016,2979
19,2016,1850
20,2016,4722
21,2016,5126
22,2016,9094
23,2016,15119
24,2016,4363
25,2016,3471
26,2016,5709
27,2016,19883
28,2016,8991
29,2016,3329
30,2016,2524
31,2016,1244
32,2016,1804
33,2016,4448
34,2016,6153
35,2016,3467
36,2016,2108
37,2016,2680
38,2016,3487
39,2016,1551
40,2016,10747
41,2016,2234
42,2016,2868
43,2016,4439
44,2016,2959
45,2016,2340
46,2016,3593
47,2016,2759
