# areaCode,year,value
# 単位: 事業所（製造業事業所数）。出典: 経済産業省「工業統計調査」2012年。
01,2012,11600
02,2012,3087
03,2012,3790
04,2012,5019
05,2012,3789
06,2012,5535
07,2012,7481
08,2012,11419
09,2012,10085
10,2012,11817
11,2012,29417
12,2012,11935
13,2012,50051
14,2012,19898
15,2012,12475
16,2012,5480
17,2012,7808
18,2012,5610
19,2012,4964
20,2012,11658
21,2012,14955
22,2012,21267
23,2012,39379
24,2012,8123
25,2012,5877
26,2012,15207
27,2012,47442
28,2012,19407
29,2012,5073
30,2012,4334
31,2012,1672
32,2012,2440
33,2012,7283
34,2012,11005
35,2012,3744
36,2012,2915
37,2012,4486
38,2012,5070
39,2012,2415
40,2012,12430
41,2012,3002
42,2012,4154
43,2012,4329
44,2012,3170
45,2012,3155
46,2012,5174
47,2012,2954
