# areaCode,year,value
# 単位: 千トン（海面漁業漁獲量）。内陸県(埼玉・群馬・栃木・山梨・長野・岐阜・滋賀・奈良)は海に面していないため0。出典: 農林水産省「漁業・養殖業生産統計」2013年。
01,2013,1141
02,2013,116
03,2013,113
04,2013,185
05,2013,8
06,2013,6
07,2013,45
08,2013,154
09,2013,0
10,2013,0
11,2013,0
12,2013,134
13,2013,68
14,2013,41
15,2013,30
16,2013,46
17,2013,73
18,2013,14
19,2013,0
20,2013,0
21,2013,0
22,2013,197
23,2013,81
24,2013,159
25,2013,0
26,2013,11
27,2013,18
28,2013,57
29,2013,0
30,2013,24
31,2013,56
32,2013,140
33,2013,5
34,2013,19
35,2013,29
36,2013,13
37,2013,19
38,2013,77
39,2013,80
40,2013,44
41,2013,18
42,2013,244
43,2013,22
44,2013,36
45,2013,105
46,2013,89
47,2013,15
