# areaCode,year,value
# 単位: %（森林率、国土面積に占める森林面積の割合）。出典: 林野庁「都道府県別森林率・人工林率」平成29年（2017年）。
01,2017,70.6
02,2017,65.6
03,2017,76.7
04,2017,57.3
05,2017,72.1
06,2017,71.8
07,2017,70.7
08,2017,30.6
09,2017,54.5
10,2017,66.5
11,2017,31.5
12,2017,30.5
13,2017,36.0
14,2017,39.2
15,2017,68.0
16,2017,67.1
17,2017,68.3
18,2017,74.5
19,2017,77.9
20,2017,78.8
21,2017,81.2
22,2017,63.9
23,2017,42.2
24,2017,64.5
25,2017,50.5
26,2017,74.2
27,2017,30.0
28,2017,66.7
29,2017,76.9
30,2017,76.5
31,2017,73.8
32,2017,78.2
33,2017,67.9
34,2017,72.1
35,2017,71.5
36,2017,75.9
37,2017,46.6
38,2017,70.7
39,2017,83.8
40,2017,44.6
41,2017,45.2
42,2017,58.7
43,2017,62.5
44,2017,71.4
45,2017,75.7
46,2017,64.0
47,2017,46.8
