# areaCode,year,value
# 単位: 館（図書館数）。出典: 都道府県格付研究所(文科省社会教育調査集計) 2011年。
01,2011,144
02,2011,33
03,2011,46
04,2011,36
05,2011,46
06,2011,38
07,2011,66
08,2011,59
09,2011,49
10,2011,54
11,2011,160
12,2011,140
13,2011,394
14,2011,83
15,2011,79
16,2011,57
17,2011,49
18,2011,37
19,2011,54
20,2011,116
21,2011,77
22,2011,96
23,2011,94
24,2011,40
25,2011,50
26,2011,69
27,2011,144
28,2011,108
29,2011,33
30,2011,30
31,2011,30
32,2011,36
33,2011,61
34,2011,87
35,2011,52
36,2011,29
37,2011,29
38,2011,44
39,2011,34
40,2011,115
41,2011,29
42,2011,38
43,2011,45
44,2011,35
45,2011,28
46,2011,63
47,2011,38
