# areaCode,year,value
# 単位: 歳（平均寿命・女性）。出典: 厚生労働省「都道府県別生命表」令和2年（2020年）。
25,2020,88.26
20,2020,88.23
29,2020,87.95
26,2020,88.25
14,2020,87.89
17,2020,88.11
18,2020,87.84
34,2020,88.16
43,2020,88.22
21,2020,87.51
33,2020,88.29
44,2020,87.99
13,2020,87.86
23,2020,87.52
16,2020,87.97
28,2020,87.9
19,2020,87.94
04,2020,87.51
24,2020,87.59
32,2020,88.21
22,2020,87.48
37,2020,87.64
12,2020,87.5
11,2020,87.31
41,2020,87.78
06,2020,87.38
40,2020,87.7
31,2020,87.91
15,2020,87.57
36,2020,87.42
45,2020,87.6
10,2020,87.18
38,2020,87.34
35,2020,87.43
30,2020,87.36
42,2020,87.41
09,2020,86.89
46,2020,87.53
01,2020,87.08
08,2020,86.94
27,2020,87.37
39,2020,87.84
47,2020,87.88
03,2020,87.05
07,2020,86.81
05,2020,87.1
02,2020,86.33
