# areaCode,year,value
# 単位: 歳（平均寿命・男性）。出典: 厚生労働省「都道府県別生命表」令和2年（2020年）。
25,2020,82.73
20,2020,82.68
29,2020,82.4
26,2020,82.24
14,2020,82.04
17,2020,82.0
18,2020,81.98
34,2020,81.95
43,2020,81.91
21,2020,81.9
33,2020,81.9
44,2020,81.88
13,2020,81.77
23,2020,81.77
16,2020,81.74
28,2020,81.72
19,2020,81.71
04,2020,81.7
24,2020,81.68
32,2020,81.63
22,2020,81.59
37,2020,81.56
12,2020,81.45
11,2020,81.44
41,2020,81.41
06,2020,81.39
40,2020,81.38
31,2020,81.34
15,2020,81.29
36,2020,81.27
45,2020,81.15
10,2020,81.13
38,2020,81.13
35,2020,81.12
30,2020,81.03
42,2020,81.01
09,2020,81.0
46,2020,80.95
01,2020,80.92
08,2020,80.89
27,2020,80.81
39,2020,80.79
47,2020,80.73
03,2020,80.64
07,2020,80.6
05,2020,80.48
02,2020,79.27
