# areaCode,year,value
# 単位: 駅（登録されている道の駅の数）。出典: 国土交通省道路局「道の駅一覧」（2024年8月7日現在）。
01,2024,128
02,2024,28
03,2024,36
04,2024,19
05,2024,34
06,2024,23
07,2024,35
08,2024,16
09,2024,25
10,2024,33
11,2024,21
12,2024,30
13,2024,1
14,2024,4
15,2024,42
16,2024,16
17,2024,26
18,2024,21
19,2024,22
20,2024,54
21,2024,56
22,2024,25
23,2024,19
24,2024,18
25,2024,20
26,2024,18
27,2024,10
28,2024,36
29,2024,17
30,2024,36
31,2024,17
32,2024,29
33,2024,17
34,2024,21
35,2024,24
36,2024,18
37,2024,18
38,2024,29
39,2024,26
40,2024,17
41,2024,11
42,2024,11
43,2024,36
44,2024,26
45,2024,19
46,2024,23
47,2024,10
