# areaCode,year,value
# 単位: 指数（無次元、平均0・標準偏差1に標準化）。製造品出荷額・貯蓄額・持ち家率・日照時間が高いほどプラス、医師数・看護師数・大学数・伝統的工芸品密度が高いほどマイナス。出典: 当サイト独自算出。20指標（経済・医療・治安・自然・生活・文化・教育・産業・気候）を標準化し主成分分析(PCA)を実施、第2主成分（寄与率16.8%）を抽出。算出日2026年8月。
01,2026,-1.71
02,2026,-1.38
03,2026,-0.15
04,2026,-0.65
05,2026,-1.08
06,2026,-0.54
07,2026,0.35
08,2026,2.03
09,2026,1.92
10,2026,2.67
11,2026,1.41
12,2026,1.62
13,2026,-4.25
14,2026,0.48
15,2026,0.16
16,2026,1.81
17,2026,0.22
18,2026,0.96
19,2026,0.76
20,2026,2.58
21,2026,2.55
22,2026,2.28
23,2026,2.22
24,2026,3.14
25,2026,2.6
26,2026,-1.76
27,2026,-1.89
28,2026,1.0
29,2026,0.37
30,2026,1.07
31,2026,-1.13
32,2026,-0.55
33,2026,0.02
34,2026,0.12
35,2026,0.35
36,2026,-0.23
37,2026,1.59
38,2026,-0.39
39,2026,-1.47
40,2026,-2.42
41,2026,-0.97
42,2026,-3.23
43,2026,-1.43
44,2026,-0.21
45,2026,-1.62
46,2026,-2.1
47,2026,-5.15
