# areaCode,year,value
# 単位: 人/10万人（人口10万人あたり看護師数）。出典: 厚生労働省「衛生行政報告例」集計 2010年。
01,2010,923.45
02,2010,826.74
03,2010,896.97
04,2010,684.49
05,2010,865.20
06,2010,843.34
07,2010,705.05
08,2010,575.53
09,2010,656.43
10,2010,715.36
11,2010,486.91
12,2010,523.66
13,2010,653.78
14,2010,569.20
15,2010,783.89
16,2010,938.21
17,2010,1006.93
18,2010,880.55
19,2010,751.15
20,2010,839.04
21,2010,656.39
22,2010,688.13
23,2010,630.05
24,2010,701.78
25,2010,809.06
26,2010,845.11
27,2010,707.48
28,2010,738.48
29,2010,716.48
30,2010,826.08
31,2010,949.26
32,2010,980.49
33,2010,978.22
34,2010,847.85
35,2010,948.09
36,2010,963.86
37,2010,930.27
38,2010,961.79
39,2010,1114.78
40,2010,952.29
41,2010,1012.84
42,2010,1040.11
43,2010,1023.92
44,2010,981.42
45,2010,1010.72
46,2010,1050.20
47,2010,815.54
