# areaCode,year,value
# 単位: か所（宿泊施設のある温泉地の数）。出典: 環境省「令和4年度温泉利用状況」（令和5年3月末現在）。
01,2023,230
02,2023,125
03,2023,83
04,2023,40
05,2023,117
06,2023,74
07,2023,127
08,2023,35
09,2023,67
10,2023,96
11,2023,29
12,2023,83
13,2023,21
14,2023,40
15,2023,142
16,2023,66
17,2023,53
18,2023,37
19,2023,27
20,2023,194
21,2023,54
22,2023,118
23,2023,34
24,2023,71
25,2023,25
26,2023,47
27,2023,17
28,2023,81
29,2023,33
30,2023,47
31,2023,15
32,2023,40
33,2023,34
34,2023,62
35,2023,41
36,2023,25
37,2023,28
38,2023,36
39,2023,40
40,2023,47
41,2023,19
42,2023,34
43,2023,53
44,2023,63
45,2023,29
46,2023,87
47,2023,13
