# areaCode,year,value
# 単位: m2（都市公園面積、人口1人当たり）。出典: 国土交通省都市局「都市公園データベース」2021年3月31日現在。
01,2021,27.22
02,2021,17.02
03,2021,13.08
04,2021,17.99
05,2021,19.67
06,2021,17.63
07,2021,13.53
08,2021,9.88
09,2021,14.58
10,2021,13.68
11,2021,7.12
12,2021,6.92
13,2021,4.26
14,2021,5.61
15,2021,14.21
16,2021,15.84
17,2021,13.89
18,2021,15.64
19,2021,9.85
20,2021,13.75
21,2021,10.29
22,2021,8.73
23,2021,7.87
24,2021,9.82
25,2021,9.05
26,2021,7.74
27,2021,5.68
28,2021,13.03
29,2021,13.82
30,2021,8.23
31,2021,11.89
32,2021,16.46
33,2021,15.47
34,2021,10.71
35,2021,15.09
36,2021,8.19
37,2021,17.02
38,2021,11.79
39,2021,11.00
40,2021,9.33
41,2021,11.25
42,2021,11.86
43,2021,8.89
44,2021,11.40
45,2021,18.11
46,2021,12.30
47,2021,10.46
