# areaCode,year,value
# 単位: 円（家賃、1ヶ月・1坪あたり）。出典: 総務省統計局「小売物価統計調査」令和4年（2022年）。
01,2022,3771
02,2022,3163
03,2022,3950
04,2022,4531
05,2022,3706
06,2022,3622
07,2022,3658
08,2022,3982
09,2022,3827
10,2022,3348
11,2022,5353
12,2022,4832
13,2022,8806
14,2022,6258
15,2022,3932
16,2022,3680
17,2022,3963
18,2022,3361
19,2022,3771
20,2022,3679
21,2022,3736
22,2022,4803
23,2022,4680
24,2022,3565
25,2022,4728
26,2022,5988
27,2022,5746
28,2022,4882
29,2022,3944
30,2022,3437
31,2022,3573
32,2022,4354
33,2022,3936
34,2022,4451
35,2022,3552
36,2022,3420
37,2022,3558
38,2022,3544
39,2022,3976
40,2022,4233
41,2022,3646
42,2022,4754
43,2022,3741
44,2022,3362
45,2022,3557
46,2022,4121
47,2022,4418
