# areaCode,year,value
# 単位: トン（水稲の収穫量）。出典: 農林水産省「作物統計調査」令和4年（2022年）。
01,2022,553200
02,2022,235200
03,2022,247600
04,2022,326500
05,2022,456500
06,2022,365300
07,2022,317300
08,2022,319200
09,2022,270300
10,2022,72300
11,2022,142400
12,2022,259500
13,2022,484
14,2022,14400
15,2022,631000
16,2022,197400
17,2022,122900
18,2022,121000
19,2022,25500
20,2022,187300
21,2022,100800
22,2022,76400
23,2022,130800
24,2022,130800
25,2022,151700
26,2022,72000
27,2022,22800
28,2022,177000
29,2022,43900
30,2022,31000
31,2022,62200
32,2022,85100
33,2022,147200
34,2022,114500
35,2022,92600
36,2022,47600
37,2022,55700
38,2022,68600
39,2022,49700
40,2022,164000
41,2022,117200
42,2022,48900
43,2022,156800
44,2022,93200
45,2022,75200
46,2022,86000
47,2022,1920
