# areaCode,year,value
# 単位: 万円（平均年収。きまって支給する現金給与額×12＋年間賞与その他特別給与額の推計値）。出典: 厚生労働省「賃金構造基本統計調査」2023年。
13,2023,599.0
14,2023,539.2
27,2023,524.2
23,2023,519.3
28,2023,501.9
25,2023,495.8
08,2023,489.0
12,2023,485.9
29,2023,483.9
34,2023,481.6
24,2023,480.6
11,2023,479.9
26,2023,479.2
22,2023,477.8
09,2023,474.9
21,2023,471.9
40,2023,471.3
30,2023,458.3
10,2023,455.1
35,2023,454.9
33,2023,454.6
18,2023,454.2
04,2023,454.2
19,2023,454.2
20,2023,451.0
17,2023,448.6
37,2023,445.7
16,2023,443.4
36,2023,435.0
44,2023,431.2
15,2023,427.6
43,2023,423.5
41,2023,422.0
38,2023,418.0
42,2023,417.1
07,2023,417.0
01,2023,414.6
39,2023,414.2
32,2023,410.7
31,2023,403.2
46,2023,397.3
05,2023,395.7
06,2023,391.9
03,2023,391.5
45,2023,383.1
02,2023,380.2
47,2023,375.4
