# areaCode,year,value
# 単位: 万円（貯蓄現在高、2人以上世帯）。出典: 総務省統計局「家計調査」令和4年（2022年）。
01,2022,1769
02,2022,1106
03,2022,1493
04,2022,1745
05,2022,1345
06,2022,1250
07,2022,1321
08,2022,1663
09,2022,1739
10,2022,2036
11,2022,2351
12,2022,2256
13,2022,2226
14,2022,2461
15,2022,1596
16,2022,2309
17,2022,2213
18,2022,1676
19,2022,1474
20,2022,1697
21,2022,2142
22,2022,2112
23,2022,2659
24,2022,2053
25,2022,2310
26,2022,1975
27,2022,1652
28,2022,2582
29,2022,2199
30,2022,1409
31,2022,1489
32,2022,1828
33,2022,1608
34,2022,1899
35,2022,1881
36,2022,2134
37,2022,1969
38,2022,1387
39,2022,1213
40,2022,1532
41,2022,1172
42,2022,1299
43,2022,1334
44,2022,1478
45,2022,1525
46,2022,1208
47,2022,904
