# areaCode,year,value
# 単位: 施設（特定給食施設の総数。学校・病院・事業所等の給食施設を含む）。出典: 都道府県格付研究所(厚労省統計集計) 2008年。
01,2008,3457
02,2008,972
03,2008,798
04,2008,1192
05,2008,707
06,2008,871
07,2008,1557
08,2008,1934
09,2008,1410
10,2008,1266
11,2008,3724
12,2008,2761
13,2008,8582
14,2008,4344
15,2008,2485
16,2008,1251
17,2008,1046
18,2008,913
19,2008,742
20,2008,1391
21,2008,1386
22,2008,2321
23,2008,3548
24,2008,1484
25,2008,962
26,2008,2102
27,2008,5231
28,2008,3967
29,2008,735
30,2008,754
31,2008,400
32,2008,600
33,2008,1479
34,2008,1851
35,2008,1138
36,2008,644
37,2008,920
38,2008,1221
39,2008,773
40,2008,3006
41,2008,856
42,2008,1484
43,2008,1496
44,2008,1088
45,2008,1241
46,2008,1597
47,2008,799
