# areaCode,year,value
# 単位: 時間（年間日照時間）。出典: 気象庁観測データ（都道府県格付研究所集計）2014年。
11,2014,2366
10,2014,2344
19,2014,2335
23,2014,2255
08,2014,2250
14,2014,2221
22,2014,2215
21,2014,2209
09,2014,2180
27,2014,2161
30,2014,2145
24,2014,2142
12,2014,2113
13,2014,2104
36,2014,2098
28,2014,2096
39,2014,2095
04,2014,2093
45,2014,2072
20,2014,2028
34,2014,1980
37,2014,1976
33,2014,1973
25,2014,1971
01,2014,1913
38,2014,1901
07,2014,1889
43,2014,1884
46,2014,1872
17,2014,1861
41,2014,1860
29,2014,1854
03,2014,1852
44,2014,1841
26,2014,1825
40,2014,1810
18,2014,1788
35,2014,1771
16,2014,1769
15,2014,1764
42,2014,1761
47,2014,1760
06,2014,1737
02,2014,1735
32,2014,1721
31,2014,1707
05,2014,1647
