# areaCode,year,value
# 単位: ℃（都道府県庁所在地の年平均気温）。出典: 総務省統計局「統計でみる都道府県のすがた2024」（気象庁観測データ）2022年。
01,2022,10.2
02,2022,11.3
03,2022,11.2
04,2022,13.5
05,2022,12.6
06,2022,12.6
07,2022,13.9
08,2022,14.8
09,2022,14.9
10,2022,15.7
11,2022,16.0
12,2022,16.7
13,2022,16.4
14,2022,16.7
15,2022,14.5
16,2022,15.1
17,2022,15.7
18,2022,15.4
19,2022,15.7
20,2022,12.7
21,2022,16.7
22,2022,17.4
23,2022,16.9
24,2022,16.9
25,2022,15.7
26,2022,16.8
27,2022,17.5
28,2022,17.5
29,2022,16.2
30,2022,17.3
31,2022,15.7
32,2022,15.8
33,2022,16.4
34,2022,17.1
35,2022,16.3
36,2022,17.2
37,2022,17.3
38,2022,17.3
39,2022,17.7
40,2022,18.0
41,2022,17.7
42,2022,17.8
43,2022,17.7
44,2022,17.4
45,2022,18.2
46,2022,19.3
47,2022,23.7
