# areaCode,year,value
# 単位: 人/10万人（人口10万人あたり交通事故死者数）。出典: 警察庁「交通事故統計」集計 2012年。
01,2012,3.7
02,2012,4.4
03,2012,6.4
04,2012,2.8
05,2012,4.0
06,2012,3.2
07,2012,4.5
08,2012,4.8
09,2012,4.7
10,2012,5.3
11,2012,2.8
12,2012,2.8
13,2012,1.4
14,2012,2.0
15,2012,4.6
16,2012,4.3
17,2012,3.8
18,2012,4.6
19,2012,4.7
20,2012,4.5
21,2012,5.9
22,2012,4.1
23,2012,3.2
24,2012,5.2
25,2012,5.6
26,2012,4.0
27,2012,2.1
28,2012,3.2
29,2012,3.5
30,2012,5.1
31,2012,5.2
32,2012,6.4
33,2012,5.8
34,2012,4.4
35,2012,3.9
36,2012,4.1
37,2012,8.2
38,2012,4.0
39,2012,7.0
40,2012,3.2
41,2012,5.5
42,2012,2.8
43,2012,4.5
44,2012,3.4
45,2012,4.4
46,2012,5.1
47,2012,2.8
