# areaCode,year,value
# 単位: 校（大学数。大学院含む、短大・高専は含まない）。出典: 都道府県格付研究所(学校基本調査集計) 2014年。
01,2014,37
02,2014,10
03,2014,5
04,2014,14
05,2014,7
06,2014,6
07,2014,8
08,2014,9
09,2014,9
10,2014,13
11,2014,29
12,2014,27
13,2014,139
14,2014,29
15,2014,18
16,2014,5
17,2014,12
18,2014,5
19,2014,7
20,2014,8
21,2014,12
22,2014,14
23,2014,51
24,2014,7
25,2014,8
26,2014,34
27,2014,57
28,2014,39
29,2014,11
30,2014,3
31,2014,2
32,2014,2
33,2014,17
34,2014,20
35,2014,10
36,2014,4
37,2014,4
38,2014,5
39,2014,3
40,2014,34
41,2014,2
42,2014,10
43,2014,9
44,2014,5
45,2014,7
46,2014,6
47,2014,8
