# areaCode,year,value
# 単位: 指数（無次元、平均0・標準偏差1に標準化）。県民所得・平均年収・家賃・人口密度・刑法犯認知件数などの都市集積指標が高いほどプラス、森林率・看護師数・持ち家率などの地方型指標が高いほどマイナス。出典: 当サイト独自算出。20指標（経済・医療・治安・自然・生活・文化・教育・産業・気候）を標準化し主成分分析(PCA)を実施、第1主成分（寄与率31.9%）を抽出。算出日2026年8月。
01,2026,-1.28
02,2026,-2.92
03,2026,-3.02
04,2026,0.75
05,2026,-2.92
06,2026,-2.23
07,2026,-1.47
08,2026,1.36
09,2026,0.62
10,2026,0.12
11,2026,3.54
12,2026,2.95
13,2026,10.47
14,2026,4.9
15,2026,-1.05
16,2026,-0.81
17,2026,-0.35
18,2026,-1.16
19,2026,-0.39
20,2026,-0.88
21,2026,-0.06
22,2026,1.39
23,2026,4.31
24,2026,0.58
25,2026,0.93
26,2026,1.96
27,2026,5.1
28,2026,2.1
29,2026,0.01
30,2026,-1.2
31,2026,-2.69
32,2026,-2.38
33,2026,-0.66
34,2026,0.41
35,2026,-0.97
36,2026,-0.93
37,2026,-1.04
38,2026,-1.63
39,2026,-2.59
40,2026,1.12
41,2026,-1.59
42,2026,-1.23
43,2026,-1.57
44,2026,-1.51
45,2026,-2.16
46,2026,-2.27
47,2026,0.34
